response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0074,0.0011,0.0000,0.0001,0.0058,0.0002,200,0.3340
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,0.6673
0.0027,0.0000,0.0000,0.0001,0.0024,0.0001,200,1.0004
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,1.3339
0.0038,0.0000,0.0000,0.0000,0.0036,0.0001,200,1.6671
0.0034,0.0000,0.0000,0.0000,0.0032,0.0001,200,2.0005
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,2.3339
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,2.6673
0.0030,0.0000,0.0000,0.0001,0.0028,0.0001,200,3.0006
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,3.3338
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,3.6671
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,4.0005
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,4.3338
0.0027,0.0000,0.0000,0.0000,0.0025,0.0001,200,4.6671
0.0022,0.0000,0.0000,0.0001,0.0021,0.0001,200,5.0004
0.0021,0.0000,0.0000,0.0000,0.0020,0.0001,200,5.3338
0.0022,0.0000,0.0000,0.0000,0.0021,0.0001,200,5.6671
0.0021,0.0000,0.0000,0.0001,0.0019,0.0001,200,6.0004
0.0021,0.0000,0.0000,0.0000,0.0019,0.0001,200,6.3338
0.0024,0.0000,0.0000,0.0000,0.0023,0.0001,200,6.6671
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,7.0005
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,7.3338
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,7.6672
0.0024,0.0000,0.0000,0.0000,0.0022,0.0001,200,8.0004
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,8.3339
0.0030,0.0000,0.0000,0.0001,0.0027,0.0001,200,8.6672
0.0033,0.0000,0.0000,0.0001,0.0031,0.0001,200,9.0005
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,9.3339
0.0031,0.0000,0.0000,0.0000,0.0028,0.0001,200,9.6673
0.0032,0.0000,0.0000,0.0000,0.0031,0.0001,200,10.0005
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,10.3339
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,10.6673
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,11.0005
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,11.3339
0.0031,0.0000,0.0000,0.0000,0.0030,0.0001,200,11.6673
0.0024,0.0000,0.0000,0.0000,0.0022,0.0001,200,12.0005
0.0032,0.0000,0.0000,0.0001,0.0030,0.0001,200,12.3340
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,12.6672
0.0029,0.0000,0.0000,0.0000,0.0028,0.0001,200,13.0005
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,13.3338
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,13.6673
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,14.0004
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,14.3338
0.0036,0.0000,0.0000,0.0001,0.0034,0.0001,200,14.6673
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,15.0005
0.0029,0.0000,0.0000,0.0001,0.0027,0.0001,200,15.3339
0.0051,0.0000,0.0000,0.0000,0.0050,0.0001,200,15.6673
0.0027,0.0000,0.0000,0.0001,0.0025,0.0001,200,16.0004
0.0031,0.0000,0.0000,0.0001,0.0029,0.0001,200,16.3338
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,16.6671
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,17.0004
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,17.3339
0.0028,0.0000,0.0000,0.0000,0.0025,0.0001,200,17.6673
0.0071,0.0000,0.0000,0.0000,0.0069,0.0001,200,18.0005
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,18.3339
0.0035,0.0000,0.0000,0.0000,0.0033,0.0001,200,18.6673
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,19.0004
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,19.3338
0.0034,0.0000,0.0000,0.0000,0.0032,0.0001,200,19.6673
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,20.0005
0.0031,0.0000,0.0000,0.0000,0.0030,0.0001,200,20.3339
0.0056,0.0000,0.0000,0.0000,0.0054,0.0001,200,20.6672
0.0033,0.0000,0.0000,0.0000,0.0031,0.0001,200,21.0004
0.0030,0.0000,0.0000,0.0001,0.0028,0.0001,200,21.3339
0.0032,0.0000,0.0000,0.0000,0.0030,0.0000,200,21.6671
0.0032,0.0000,0.0000,0.0000,0.0029,0.0001,200,22.0006
0.0036,0.0000,0.0000,0.0001,0.0034,0.0001,200,22.3340
0.0034,0.0000,0.0000,0.0001,0.0032,0.0001,200,22.6673
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,23.0005
0.0030,0.0000,0.0000,0.0000,0.0028,0.0001,200,23.3338
0.0034,0.0000,0.0000,0.0000,0.0031,0.0001,200,23.6673
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,24.0004
0.0028,0.0000,0.0000,0.0000,0.0027,0.0001,200,24.3339
0.0036,0.0000,0.0000,0.0000,0.0034,0.0001,200,24.6673
0.0034,0.0000,0.0000,0.0000,0.0031,0.0001,200,25.0004
0.0034,0.0000,0.0000,0.0000,0.0032,0.0001,200,25.3338
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,25.6673
0.0029,0.0000,0.0000,0.0000,0.0027,0.0001,200,26.0004
0.0038,0.0000,0.0000,0.0000,0.0035,0.0001,200,26.3338
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,26.6673
0.0032,0.0000,0.0000,0.0000,0.0031,0.0000,200,27.0005
0.0028,0.0000,0.0000,0.0000,0.0026,0.0000,200,27.3339
0.0032,0.0000,0.0000,0.0000,0.0031,0.0001,200,27.6673
0.0032,0.0000,0.0000,0.0000,0.0030,0.0001,200,28.0005
0.0031,0.0000,0.0000,0.0001,0.0029,0.0000,200,28.3339
0.0031,0.0000,0.0000,0.0000,0.0029,0.0001,200,28.6672
0.0025,0.0000,0.0000,0.0000,0.0024,0.0001,200,29.0005
0.0026,0.0000,0.0000,0.0000,0.0024,0.0001,200,29.3337
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,29.6673
0.0025,0.0000,0.0000,0.0000,0.0023,0.0001,200,30.0004
0.0027,0.0000,0.0000,0.0000,0.0024,0.0001,200,30.3339
0.0028,0.0000,0.0000,0.0000,0.0026,0.0001,200,30.6672
0.0027,0.0000,0.0000,0.0001,0.0024,0.0001,200,31.0006
