response-time,DNS+dialup,DNS,Request-write,Response-delay,Response-read,status-code,offset
0.0073,0.0012,0.0000,0.0002,0.0055,0.0001,200,0.3342
0.0044,0.0000,0.0000,0.0001,0.0041,0.0001,200,0.6672
0.0051,0.0000,0.0000,0.0000,0.0049,0.0001,200,1.0006
0.0043,0.0000,0.0000,0.0001,0.0041,0.0001,200,1.3340
0.0044,0.0000,0.0000,0.0000,0.0042,0.0001,200,1.6672
0.0053,0.0000,0.0000,0.0001,0.0050,0.0001,200,2.0007
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,200,2.3338
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,200,2.6671
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,200,3.0005
0.0043,0.0000,0.0000,0.0000,0.0041,0.0001,200,3.3338
0.0045,0.0000,0.0000,0.0000,0.0043,0.0001,200,3.6671
0.0058,0.0000,0.0000,0.0000,0.0056,0.0001,200,4.0005
0.0037,0.0000,0.0000,0.0001,0.0035,0.0001,200,4.3338
0.0050,0.0000,0.0000,0.0000,0.0048,0.0001,200,4.6672
0.0054,0.0000,0.0000,0.0000,0.0052,0.0001,200,5.0005
0.0046,0.0000,0.0000,0.0000,0.0044,0.0001,200,5.3337
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,5.6671
0.0048,0.0000,0.0000,0.0000,0.0046,0.0001,200,6.0004
0.0053,0.0000,0.0000,0.0001,0.0051,0.0001,200,6.3340
0.0058,0.0000,0.0000,0.0000,0.0055,0.0001,200,6.6673
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,200,7.0005
0.0048,0.0000,0.0000,0.0000,0.0045,0.0001,200,7.3338
0.0040,0.0000,0.0000,0.0000,0.0038,0.0001,200,7.6672
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,200,8.0006
0.0050,0.0000,0.0000,0.0000,0.0047,0.0001,200,8.3339
0.0041,0.0000,0.0000,0.0001,0.0038,0.0001,200,8.6672
0.0041,0.0000,0.0000,0.0001,0.0039,0.0001,200,9.0005
0.0036,0.0000,0.0000,0.0000,0.0033,0.0001,200,9.3340
0.0041,0.0000,0.0000,0.0001,0.0039,0.0001,200,9.6671
0.0035,0.0000,0.0000,0.0000,0.0033,0.0001,200,10.0004
0.0034,0.0000,0.0000,0.0001,0.0032,0.0001,200,10.3339
0.0041,0.0000,0.0000,0.0000,0.0039,0.0001,200,10.6671
0.0034,0.0000,0.0000,0.0000,0.0032,0.0001,200,11.0006
0.0034,0.0000,0.0000,0.0000,0.0031,0.0001,200,11.3338
0.0035,0.0000,0.0000,0.0000,0.0033,0.0001,200,11.6673
0.0042,0.0000,0.0000,0.0001,0.0040,0.0001,200,12.0006
0.0041,0.0000,0.0000,0.0000,0.0040,0.0001,200,12.3338
0.0042,0.0000,0.0000,0.0000,0.0040,0.0001,200,12.6672
